state,property,sales,license,income,other
AL,329598,4812674,386378,3612991,152113
AK,128076,257696,141947,408938,2456212
AZ,823508,7759625,437127,4037593,26190
AR,1077377,4324157,368622,3000653,165972
CA,2176236,50002053,8922534,76854157,114890
CO,0,4474294,659616,6375963,245521
CT,0,6782404,433024,8399960,322354
DE,0,480352,1301737,1319213,74867
FL,250,29046930,2133240,2043750,2160180
GA,788350,7310132,609944,9909378,10698
HI,0,3847662,223543,1871506,90620
ID,0,1821303,316331,1528077,6004
IL,54710,15758509,2675943,20343042,350690
IN,8052,10395150,590483,5763064,90212
IA,0,3771938,808047,3586277,105577
KS,81267,3890900,395454,2841841,125019
KY,562370,5354124,472225,4423722,291104
LA,55363,5115636,427090,3234892,862300
ME,35755,1911398,254251,1597038,48739
MD,725694,8022537,853851,8756557,570430
MA,3433,7933030,1012557,15440841,845865
MI,1919910,12309564,1511695,8755723,307081
MN,836743,9759346,1314463,10844216,374133
MS,25103,4704955,559218,2193646,91593
MO,29725,4915210,564474,5719700,11548
MT,268508,550254,314271,1213400,309120
NE,143,2303952,126745,2430755,15806
NV,258600,5714197,608375,0,561997
NH,383126,877035,280011,635590,106745
NJ,6705,12751851,1516698,14341741,1062231
NM,105637,2799875,282382,1503195,1066343
NY,0,23544789,1884841,47826461,3722891
NC,0,9978484,1600058,11751148,67061
ND,3026,1848130,227245,748966,3293068
OH,0,15617920,2928276,8424843,49586
OK,0,3989358,1057768,3359418,696758
OR,21740,1444542,960777,7144552,112029
PA,45017,17419429,2302934,13111325,1314164
RI,2591,1566191,132146,1208517,56530
SC,21664,4628363,471862,3750341,60334
SD,0,1296748,277787,24819,9142
TN,0,8758085,1335392,1416190,296662
TX,0,45746598,3499902,0,6014350
UT,0,2682100,276824,3197822,155743
VT,985478,1014960,109996,781057,71040
VA,35561,6063182,795515,11618200,436814
WA,1974354,15210264,1414960,0,848321
WV,0,2560993,152754,1973974,692216
WI,159069,7359539,1040619,7779733,71965
WY,300096,925757,148092,0,889442